Step 506, Time: 0.0510539, CPUs: 64
Step 507, Time: 0.0510587, CPUs: 64
Step 508, Time: 0.0510682, CPUs: 64
Step 509, Time: 0.0510872, CPUs: 64
Step 510, Time: 0.0510896, CPUs: 64
Step 511, Time: 0.051092, CPUs: 64
Step 512, Time: 0.0510968, CPUs: 64
Step 513, Time: 0.0511063, CPUs: 64
Step 514, Time: 0.0511254, CPUs: 64
Step 515, Time: 0.0511301, CPUs: 64
Step 516, Time: 0.0511349, CPUs: 64
Step 517, Time: 0.0511444, CPUs: 64
Step 518, Time: 0.0511635, CPUs: 64
Step 519, Time: 0.0511647, CPUs: 64
Step 520, Time: 0.0511659, CPUs: 64
Step 521, Time: 0.0511683, CPUs: 64
Step 522, Time: 0.0511731, CPUs: 64
Step 523, Time: 0.0511826, CPUs: 64
Step 524, Time: 0.0511922, CPUs: 64
Step 525, Time: 0.0512017, CPUs: 64
Step 526, Time: 0.0512065, CPUs: 64
Step 527, Time: 0.0512113, CPUs: 64
Step 528, Time: 0.0512208, CPUs: 64
Step 529, Time: 0.0512399, CPUs: 64
Step 530, Time: 0.0512423, CPUs: 64
Step 531, Time: 0.0512447, CPUs: 64
Step 532, Time: 0.0512495, CPUs: 64
Step 533, Time: 0.0512591, CPUs: 64
Step 534, Time: 0.0512782, CPUs: 64
Step 535, Time: 0.051283, CPUs: 64
Step 536, Time: 0.0512878, CPUs: 64
Step 537, Time: 0.0512973, CPUs: 64
Step 538, Time: 0.0513165, CPUs: 64
Step 539, Time: 0.0513177, CPUs: 64
Step 540, Time: 0.0513189, CPUs: 64
Step 541, Time: 0.0513213, CPUs: 64
Step 542, Time: 0.0513236, CPUs: 64
Step 543, Time: 0.051326, CPUs: 64
Step 544, Time: 0.0513284, CPUs: 64
Step 545, Time: 0.0513308, CPUs: 64
Step 546, Time: 0.0513332, CPUs: 64
Step 547, Time: 0.0513356, CPUs: 64
Step 548, Time: 0.051338, CPUs: 64
Step 549, Time: 0.0513404, CPUs: 64
Step 550, Time: 0.0513428, CPUs: 64
Step 551, Time: 0.0513452, CPUs: 64
Step 552, Time: 0.0513476, CPUs: 64
Step 553, Time: 0.05135, CPUs: 64
Step 554, Time: 0.0513524, CPUs: 64
Step 555, Time: 0.0513548, CPUs: 64
Step 556, Time: 0.0513596, CPUs: 64
Step 557, Time: 0.0513643, CPUs: 64
Step 558, Time: 0.0513739, CPUs: 64
Step 559, Time: 0.0513931, CPUs: 64
Step 560, Time: 0.0513955, CPUs: 64
Step 561, Time: 0.0513979, CPUs: 64
Step 562, Time: 0.0514027, CPUs: 64
Step 563, Time: 0.0514123, CPUs: 64
Step 564, Time: 0.0514315, CPUs: 64
Step 565, Time: 0.0514363, CPUs: 64
Step 566, Time: 0.0514411, CPUs: 64
Step 567, Time: 0.0514507, CPUs: 64
Step 568, Time: 0.0514603, CPUs: 64
Step 569, Time: 0.0514699, CPUs: 64
Step 570, Time: 0.0514711, CPUs: 64
Step 571, Time: 0.0514723, CPUs: 64
Step 572, Time: 0.0514747, CPUs: 64
Step 573, Time: 0.0514795, CPUs: 64
Step 574, Time: 0.0514891, CPUs: 64
Step 575, Time: 0.0515083, CPUs: 64
Step 576, Time: 0.0515131, CPUs: 64
Step 577, Time: 0.0515179, CPUs: 64
Step 578, Time: 0.0515227, CPUs: 64
Step 579, Time: 0.0515275, CPUs: 64
Step 580, Time: 0.0515323, CPUs: 64
Step 581, Time: 0.0515371, CPUs: 64
Step 582, Time: 0.0515419, CPUs: 64
Step 583, Time: 0.0515467, CPUs: 64
Step 584, Time: 0.0515491, CPUs: 64
Step 585, Time: 0.0515515, CPUs: 64
