Step 407, Time: 0.0367589, CPUs: 64
Step 408, Time: 0.0367938, CPUs: 64
Step 409, Time: 0.0368288, CPUs: 64
Step 410, Time: 0.0368637, CPUs: 64
Step 411, Time: 0.0368988, CPUs: 64
Step 412, Time: 0.0369338, CPUs: 64
Step 413, Time: 0.036936, CPUs: 64
Step 414, Time: 0.0369382, CPUs: 64
Step 415, Time: 0.0369404, CPUs: 64
Step 416, Time: 0.0369426, CPUs: 64
Step 417, Time: 0.0369448, CPUs: 64
Step 418, Time: 0.036947, CPUs: 64
Step 419, Time: 0.0369492, CPUs: 64
Step 420, Time: 0.0369513, CPUs: 64
Step 421, Time: 0.0369535, CPUs: 64
Step 422, Time: 0.0369557, CPUs: 64
Step 423, Time: 0.0369579, CPUs: 64
Step 424, Time: 0.0369601, CPUs: 64
Step 425, Time: 0.0369623, CPUs: 64
Step 426, Time: 0.0369645, CPUs: 64
Step 427, Time: 0.0369667, CPUs: 64
Step 428, Time: 0.0369689, CPUs: 64
Step 429, Time: 0.0369711, CPUs: 64
Step 430, Time: 0.0369733, CPUs: 64
Step 431, Time: 0.0369755, CPUs: 64
Step 432, Time: 0.0369777, CPUs: 64
Step 433, Time: 0.0369799, CPUs: 64
Step 434, Time: 0.0369821, CPUs: 64
Step 435, Time: 0.0369843, CPUs: 64
Step 436, Time: 0.0369865, CPUs: 64
Step 437, Time: 0.0369886, CPUs: 64
Step 438, Time: 0.0369908, CPUs: 64
Step 439, Time: 0.036993, CPUs: 64
Step 440, Time: 0.0369952, CPUs: 64
Step 441, Time: 0.0369974, CPUs: 64
Step 442, Time: 0.0369996, CPUs: 64
Step 443, Time: 0.0370018, CPUs: 64
Step 444, Time: 0.037004, CPUs: 64
Step 445, Time: 0.0370051, CPUs: 64
Step 446, Time: 0.0370062, CPUs: 64
Step 447, Time: 0.0370084, CPUs: 64
Step 448, Time: 0.0370128, CPUs: 64
Step 449, Time: 0.0370216, CPUs: 64
Step 450, Time: 0.0370392, CPUs: 64
Step 451, Time: 0.0370744, CPUs: 64
Step 452, Time: 0.0371096, CPUs: 64
Step 453, Time: 0.0371448, CPUs: 64
Step 454, Time: 0.0371625, CPUs: 64
Step 455, Time: 0.0371801, CPUs: 64
Step 456, Time: 0.0372154, CPUs: 64
Step 457, Time: 0.0372176, CPUs: 64
Step 458, Time: 0.0372198, CPUs: 64
Step 459, Time: 0.0372243, CPUs: 64
Step 460, Time: 0.0372331, CPUs: 64
Step 461, Time: 0.0372508, CPUs: 64
Step 462, Time: 0.0372862, CPUs: 64
Step 463, Time: 0.0372873, CPUs: 64
Step 464, Time: 0.0372884, CPUs: 64
Step 465, Time: 0.0372906, CPUs: 64
Step 466, Time: 0.037295, CPUs: 64
Step 467, Time: 0.0373039, CPUs: 64
Step 468, Time: 0.0373216, CPUs: 64
Step 469, Time: 0.037357, CPUs: 64
Step 470, Time: 0.0373925, CPUs: 64
Step 471, Time: 0.0374281, CPUs: 64
Step 472, Time: 0.0374636, CPUs: 64
Step 473, Time: 0.0374992, CPUs: 64
Step 474, Time: 0.0375348, CPUs: 64
Step 475, Time: 0.0375705, CPUs: 64
Step 476, Time: 0.0375716, CPUs: 64
Step 477, Time: 0.0375727, CPUs: 64
Step 478, Time: 0.0375749, CPUs: 64
Step 479, Time: 0.0375794, CPUs: 64
Step 480, Time: 0.0375883, CPUs: 64
Step 481, Time: 0.0376062, CPUs: 64
Step 482, Time: 0.0376419, CPUs: 64
Step 483, Time: 0.0376441, CPUs: 64
Step 484, Time: 0.0376464, CPUs: 64
Step 485, Time: 0.0376508, CPUs: 64
Step 486, Time: 0.0376598, CPUs: 64
Step 487, Time: 0.0376777, CPUs: 64
Step 488, Time: 0.0377134, CPUs: 64
Step 489, Time: 0.0377146, CPUs: 64
Step 490, Time: 0.0377157, CPUs: 64
Step 491, Time: 0.0377179, CPUs: 64
Step 492, Time: 0.0377224, CPUs: 64
Step 493, Time: 0.0377314, CPUs: 64
Step 494, Time: 0.0377493, CPUs: 64
Step 495, Time: 0.0377851, CPUs: 64
